brand,price,processor,Ram,ROM,display_size,OS
Asus,62990,12th Gen Intel Core i5 12450H,16.0,512.0,16.0,Windows 11 OS
MSI,65990,11th Gen Intel Core i7 11800H,16.0,1024.0,15.6,Windows 11 OS
Infinix,23990,11th Gen Intel Celeron N5100,8.0,512.0,15.6,Windows 11 OS
Asus,61990,11th Gen Intel Core i5 11400H ,16.0,512.0,15.6,Windows 11 OS
Dell,36990,5th Gen AMD Ryzen 3 5425U,8.0,512.0,15.6,Windows 11 OS
Asus,50970,5th Gen AMD Ryzen 5 5600H,16.0,512.0,16.0,Windows 11 OS
Dell,184999,10th Gen Intel Core i7 10750H,16.0,512.0,15.6,Windows 10 OS
HP,109990,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.1,Windows 11 OS
Zebronics,42990,12th Gen Intel Core i5 1235U,16.0,512.0,15.6,Windows 11 OS
HP,39150,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Acer,92999,13th Gen Intel Core i5 13500H,16.0,512.0,14.0,Windows 11 OS
HP,80990,7th Gen AMD Ryzen 7 7840HS,16.0,512.0,16.1,Windows 11 OS
HP,55850,7th Gen AMD Ryzen 5 7535HS,8.0,512.0,15.6,Windows 11 OS
Acer,38990,11th Gen Intel Core i5 1135G7,8.0,512.0,15.6,Windows 11 OS
MSI,53990,11th Gen Intel Core i5 11260H,16.0,1024.0,15.6,Windows 11 OS
Infinix,38990,12th Gen Intel Core i5 1235U,16.0,512.0,14.0,Windows 11 OS
HP,139234,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.0,Windows 11 OS
MSI,57990,11th Gen Intel Core i5 11260H,16.0,1024.0,15.6,Windows 11 OS
Lenovo,89999,13th Gen Intel Core i5 13420H,8.0,512.0,15.6,Windows 11 OS
Acer,37990,11th Gen Intel Core i5  1135G7,16.0,512.0,14.0,Windows 11 OS
Asus,30990,11th Gen Intel Core i3 1115G4,8.0,512.0,14.0,Windows 11 OS
Dell,92990,13th Gen Intel Core i5 13450HX,16.0,512.0,15.6,Windows 11 OS
HP,42990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Asus,59089,11th Gen Intel Core i5 11400H ,16.0,512.0,15.6,Windows 11 OS
HP,72999,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
HP,126742,6th Gen AMD Ryzen 7  6800H,16.0,1024.0,16.1,Windows 11 OS
Apple,126990,Apple M2,8.0,256.0,15.3,Mac OS
Samsung,49990,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Dell,74390,12th Gen Intel Core i5 1240P,16.0,512.0,14.0,Windows 11 OS
Dell,52990,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Lenovo,60990,11th Gen Intel Core i5 11300H,8.0,512.0,15.6,Windows 11 OS
HP,98174,6th Gen AMD Ryzen 7  6800H,16.0,512.0,16.1,Windows 11 OS
Lenovo,18990,AMD Athlon Pro 3045B,8.0,256.0,14.0,Windows 11 OS
Asus,38990,11th Gen Intel Core i5 1135G7,8.0,512.0,15.6,Windows 11 OS
HP,41950,5th Gen AMD Ryzen 5  5500U,8.0,512.0,14.0,Windows 11 OS
Xiaomi,46990,11th Gen Intel Core i5 11300H ,16.0,512.0,15.6,Windows 10  OS
iBall,9999,Intel Atom Quad Core Z3735F,2.0,32.0,11.6,Windows 10 OS
Asus,40990,12th Gen Intel Core i3 1220P,8.0,512.0,15.6,Windows 11 OS
Lenovo,74990,6th Gen AMD Ryzen 7 6800H,8.0,512.0,15.6,Windows 11 OS
Zebronics,33990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Zebronics,39990,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Asus,10990,Intel Celeron  N4020,4.0,32.0,11.6,Chrome OS
MSI,88990,13th Gen Intel Core i5 13500H,32.0,1024.0,15.6,Windows 11 OS
HP,54990,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Lenovo,49990,7th Gen AMD Ryzen 7 7730U,8.0,512.0,15.6,Windows 11 OS
Asus,80739,13th Gen Intel Core i9 13900H,16.0,512.0,16.0,Windows 11 OS
Lenovo,62990,12th Gen Intel Core i7 1255U,16.0,512.0,15.6,Windows 11 OS
HP,62990,12th Gen Intel Core i5 12450H,8.0,512.0,15.6,Windows 11 OS
HP,69501,7th Gen Amd Ryzen 5 7535HS,16.0,512.0,15.6,Windows 11 OS
Lenovo,59990,12th Gen Intel Core i5 12450H,16.0,512.0,14.0,Windows 11 OS
HP,54990,7th Gen Amd Ryzen 5 7535HS,8.0,512.0,15.6,Windows 11 OS
Lenovo,64990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
MSI,37729,12th Gen Intel Core i3 1215U,16.0,512.0,15.6,Windows 11 OS
Lenovo,50712,5th Gen AMD Ryzen 5  5600H,16.0,512.0,15.6,Windows 11 OS
MSI,44990,11th Gen Intel Core i5 1155G7,16.0,512.0,14.0,Windows 11 OS
Chuwi,23990,10th Gen Intel Core i3 1005G1,8.0,512.0,14.0,Windows 11 OS
